snapshot_month,observed_customers,total_monthly_revenue_proxy,avg_monthly_revenue_proxy,future_churn_label_rate,future_churned_revenue_proxy,avg_engagement_score,avg_active_days,auto_renew_rate,cancel_signal_rate
2015-01,299,104897.0,350.82608695652175,0.13712374581939799,16518.0,0.0,0.0,0.979933110367893,0.013377926421404682
2015-02,416,158037.0,379.89663461538464,0.1971153846153846,39378.0,0.0,0.0,1.0,0.009615384615384616
2015-03,1298,439369.0,338.4969183359014,0.3066255778120185,130392.0,0.0,0.0,0.9961479198767335,0.06471494607087827
2015-04,1480,457293.0,308.98175675675674,0.31283783783783786,134225.0,0.0,0.0,0.9986486486486487,0.046621621621621624
2015-05,1855,572585.0,308.6711590296496,0.3212938005390836,169282.0,0.0,0.0,1.0,0.029649595687331536
2015-06,2305,689001.0,298.91583514099784,0.3223427331887202,204164.0,0.0,0.0,0.9986984815618222,0.02776572668112798
2015-07,2816,838552.0,297.78125,0.31889204545454547,248005.0,0.0,0.0,1.0,0.041193181818181816
2015-08,3288,964849.0,293.4455596107056,0.3220802919708029,283652.0,0.0,0.0,1.0,0.03801703163017032
2015-09,3789,1050782.0,277.3243599894431,0.32066508313539194,309942.0,0.0,0.0,0.9997360781208762,0.03721298495645289
2015-10,4666,1266490.0,271.42948992713247,0.30754393484783543,354186.0,0.0,0.0,0.9993570510072868,0.05057865409344192
2015-11,5775,1553372.0,268.9821645021645,0.30008658008658007,432441.0,0.0,0.0,0.9979220779220779,0.049523809523809526
2015-12,6169,1420859.0,230.32241854433457,0.303614848435727,415680.0,0.0,0.0,0.9964337818122873,0.034689576916842275
2016-01,1715,250557.0,146.09737609329446,0.46880466472303206,133836.0,0.0,0.0,0.9877551020408163,0.01574344023323615
2016-02,1696,246210.0,145.17099056603774,0.49292452830188677,140442.0,0.0,0.0,0.9752358490566038,0.014150943396226415
2016-03,97,43937.0,452.9587628865979,0.9484536082474226,36635.0,0.0,0.0,0.6288659793814433,0.020618556701030927
2016-04,121,39674.0,327.88429752066116,0.9917355371900827,38780.0,0.0,0.0,0.8016528925619835,0.03305785123966942
2016-05,168,41117.0,244.74404761904762,0.9940476190476191,40968.0,0.0,0.0,0.8928571428571429,0.011904761904761904
2016-06,231,46316.0,200.5021645021645,0.9913419913419913,45422.0,0.0,0.0,0.9090909090909091,0.017316017316017316
2016-07,336,62244.0,185.25,1.0,62244.0,0.0,0.0,0.8422619047619048,0.03273809523809524
2016-08,437,89537.0,204.89016018306637,0.9931350114416476,87451.0,0.0,0.0,0.88558352402746,0.020594965675057208
2016-09,590,114110.0,193.40677966101694,0.9983050847457627,113961.0,0.0,0.0,0.9169491525423729,0.03389830508474576
2016-10,847,178665.0,210.93860684769777,0.9976387249114522,178000.0,0.0,0.0,0.8642266824085005,0.023612750885478158
2016-11,1450,288798.0,199.1710344827586,0.9951724137931034,286483.0,0.0,0.0,0.9006896551724138,0.014482758620689656
2016-12,2593,747733.0,288.36598534516,0.9838025453143078,744226.0,0.0,0.0,0.7686077902043964,0.0239105283455457
2017-01,5865,1164439.0,198.54032395566924,0.9768115942028985,1143576.0,0.0,0.0,0.8451832907075874,0.014492753623188406
2017-02,83502,13451278.0,161.0892912744605,0.1478048429977725,2885523.0,0.0,0.0,0.958994994131877,0.002898134176426912
2017-03,960235,137891563.0,143.6018922451275,0.07995230334241098,21860917.0,10.836327195620196,14.09336672793639,0.8854905309637745,0.03176722364837774
